session_id,source_file,endpoint_path,business_area,captured_at,status_code,record_count_guess,has_sensitive_headers,standardized_table,notes
session-20260512-101623,001-www-jspec-com-cn-px-common-habit-user-menu-default.json,/px-common-habit/user/menu/default,unknown,2026-05-12T02:16:42.308Z,200,0,false,,unclassified
session-20260512-101623,002-www-jspec-com-cn-px-gateway-systemtime-getsystemtime.json,/px-gateway/systemTime/getSystemTime,unknown,2026-05-12T02:16:42.325Z,200,0,false,,unclassified
session-20260512-101623,003-www-jspec-com-cn-px-common-mpush-message-log-querybyuserid.json,/px-common-mpush/message/log/queryByUserId,unknown,2026-05-12T02:16:42.339Z,200,0,false,,unclassified
session-20260512-101623,004-www-jspec-com-cn-px-gateway-gatewayconfig-security.json,/px-gateway/GatewayConfig/security,unknown,2026-05-12T02:16:55.041Z,200,0,false,,unclassified
session-20260512-101623,005-www-jspec-com-cn-px-gateway-gatewayconfig-recordpageviews.json,/px-gateway/GatewayConfig/recordPageViews,unknown,2026-05-12T02:16:55.041Z,200,0,false,,unclassified
session-20260512-101623,006-www-jspec-com-cn-px-service-omemberregister-getapplication-querymarketid.json,/px-service-omemberregister/getApplication/queryMarketId,unknown,2026-05-12T02:16:55.099Z,200,0,false,,unclassified
session-20260512-101623,007-www-jspec-com-cn-px-gateway-gatewayconfig-getmenulistbyticket.json,/px-gateway/GatewayConfig/getMenuListByTicket,unknown,2026-05-12T02:16:55.123Z,200,0,false,,unclassified
session-20260512-101623,008-www-jspec-com-cn-px-service-imembershare-configregister-queryconfigbycode.json,/px-service-imembershare/configRegister/queryConfigByCode,unknown,2026-05-12T02:16:55.154Z,200,0,false,,unclassified
session-20260512-101623,009-www-jspec-com-cn-px-service-imembershare-configregister-queryvaluebycodenoterrorinfo.json,/px-service-imembershare/configRegister/queryValueByCodeNotErrorInfo,unknown,2026-05-12T02:16:55.177Z,200,0,false,,unclassified
session-20260512-101623,010-www-jspec-com-cn-px-service-imembershare-configregister-queryconfigbycode.json,/px-service-imembershare/configRegister/queryConfigByCode,unknown,2026-05-12T02:16:55.201Z,200,0,false,,unclassified
session-20260512-101623,011-www-jspec-com-cn-px-gateway-gatewayconfig-recordpageviews.json,/px-gateway/GatewayConfig/recordPageViews,unknown,2026-05-12T02:16:55.232Z,200,0,false,,unclassified
session-20260512-101623,012-www-jspec-com-cn-px-common-authority-service-homepagelastlogintime.json,/px-common-authority/service/homePageLastLoginTime,unknown,2026-05-12T02:16:55.398Z,200,2,false,,unclassified; authentication-related endpoint; keep out of committed raw data
session-20260512-101623,013-www-jspec-com-cn-px-service-imembershare-mmcommon-querybusinessscenarioinfo.json,/px-service-imembershare/mmCommon/queryBusinessScenarioInfo,unknown,2026-05-12T02:16:55.404Z,200,35,false,,unclassified
session-20260512-101623,014-www-jspec-com-cn-px-service-imembershare-mmcommon-querypublicconfig.json,/px-service-imembershare/mmCommon/queryPublicConfig,unknown,2026-05-12T02:16:55.418Z,200,0,false,,unclassified
session-20260512-101623,015-www-jspec-com-cn-px-service-imembershare-mmcommon-querypublicconfig.json,/px-service-imembershare/mmCommon/queryPublicConfig,unknown,2026-05-12T02:16:55.434Z,200,0,false,,unclassified
session-20260512-101623,016-www-jspec-com-cn-px-service-omemberregister-mmmouldcontroller-querynewmouldedition.json,/px-service-omemberregister/MmMouldController/queryNewMouldEdition,unknown,2026-05-12T02:16:55.449Z,200,0,false,,unclassified
session-20260512-101623,017-www-jspec-com-cn-px-service-omemberregister-profilephoto-queryprofilephoto.json,/px-service-omemberregister/profilePhoto/queryProfilePhoto,unknown,2026-05-12T02:16:55.497Z,200,0,false,,unclassified
session-20260512-101623,018-www-jspec-com-cn-px-settlement-infpubmeex-ipinfopubl-querypublishedapply.json,/px-settlement-infpubmeex/IpInfoPubl/queryPublishedApply,settlement,2026-05-12T02:16:55.497Z,200,0,false,settlement_query_inventory,unclassified
session-20260512-101623,019-www-jspec-com-cn-px-service-imembershare-members-querymembersinfobymembersid.json,/px-service-imembershare/members/queryMembersInfoByMembersId,unknown,2026-05-12T02:16:55.509Z,200,0,false,,unclassified
session-20260512-101623,020-www-jspec-com-cn-px-trade-extranet-tradenotice-querytradeinfobytypeanduser.json,/px-trade-extranet/tradeNotice/queryTradeInfoByTypeAndUser,notice,2026-05-12T02:16:55.510Z,200,8,false,trade_notice,unclassified
session-20260512-101623,021-www-jspec-com-cn-px-common-authority-service-myattentioninit.json,/px-common-authority/service/myAttentionInit,unknown,2026-05-12T02:16:55.512Z,200,137,false,,unclassified; authentication-related endpoint; keep out of committed raw data
session-20260512-101623,022-www-jspec-com-cn-px-service-omemberregister-consumesubject-issetaccommodation.json,/px-service-omemberregister/consumeSubject/isSetAccommodation,unknown,2026-05-12T02:16:55.512Z,200,0,false,,unclassified
session-20260512-101623,023-www-jspec-com-cn-px-service-ocomprehensive-msquestionnaire-querypage.json,/px-service-ocomprehensive/msQuestionNaire/queryPage,unknown,2026-05-12T02:16:55.533Z,200,0,false,,unclassified
session-20260512-101623,024-www-jspec-com-cn-px-service-ocomprehensive-homepage-querytraininfobymonthday.json,/px-service-ocomprehensive/homePage/queryTrainInfoByMonthDay,unknown,2026-05-12T02:16:55.567Z,200,31,false,,unclassified
session-20260512-101623,025-www-jspec-com-cn-px-trade-extranet-noticefeignall-querytrscheduleinfo.json,/px-trade-extranet/noticeFeignAll/queryTrScheduleInfo,notice,2026-05-12T02:16:55.603Z,200,0,false,trade_notice,unclassified
session-20260512-101623,026-www-jspec-com-cn-px-gateway-gatewayconfig-recordpageviews.json,/px-gateway/GatewayConfig/recordPageViews,bid,2026-05-12T02:16:57.564Z,200,0,false,standard_96_curve,
session-20260512-101623,027-www-jspec-com-cn-px-gateway-gatewayconfig-security.json,/px-gateway/GatewayConfig/security,bid,2026-05-12T02:16:57.828Z,200,0,false,standard_96_curve,
session-20260512-101623,028-www-jspec-com-cn-px-common-mpush-message-log-querybyuserid.json,/px-common-mpush/message/log/queryByUserId,bid,2026-05-12T02:16:57.893Z,200,0,false,standard_96_curve,
session-20260512-101623,029-www-jspec-com-cn-px-gateway-systemtime-getsystemtime.json,/px-gateway/systemTime/getSystemTime,bid,2026-05-12T02:16:57.893Z,200,0,false,standard_96_curve,
session-20260512-101623,030-www-jspec-com-cn-px-common-authority-user-getresourcetreebyusername.json,/px-common-authority/user/getResourceTreeByUsername,bid,2026-05-12T02:16:57.894Z,200,0,false,standard_96_curve,authentication-related endpoint; keep out of committed raw data
session-20260512-101623,031-www-jspec-com-cn-px-common-habit-user-menu-default.json,/px-common-habit/user/menu/default,bid,2026-05-12T02:16:57.894Z,200,0,false,standard_96_curve,
session-20260512-101623,032-www-jspec-com-cn-px-spotgoods-province-mosenergybidinfouser-getparticipants.json,/px-spotgoods-province/mosEnergyBidInfoUser/getParticipants,bid,2026-05-12T02:16:58.243Z,200,1,false,standard_96_curve,
session-20260512-101623,033-www-jspec-com-cn-px-spotgoods-province-mosenergybidinfoclient-generaterandom.json,/px-spotgoods-province/mosEnergyBidInfoClient/generateRandom,bid,2026-05-12T02:16:58.264Z,200,0,false,standard_96_curve,
session-20260512-101623,034-www-jspec-com-cn-px-spotgoods-province-mosenergybidinfouser-getmosenergybidinfousermonthsummary.json,/px-spotgoods-province/mosEnergyBidInfoUser/getMosEnergyBidInfoUserMonthSummary,bid,2026-05-12T02:16:58.264Z,200,0,false,standard_96_curve,
session-20260512-101623,035-www-jspec-com-cn-px-spotgoods-province-mosunitdebugplanpend-initdata.json,/px-spotgoods-province/mosUnitDebugPlanPend/initData,bid,2026-05-12T02:16:58.264Z,200,0,false,standard_96_curve,
session-20260512-101623,036-www-jspec-com-cn-px-spotgoods-province-mosenergybidinfouser-getmosenergybidinfouser.json,/px-spotgoods-province/mosEnergyBidInfoUser/getMosEnergyBidInfoUser,bid,2026-05-12T02:16:58.267Z,200,96,false,standard_96_curve,
session-20260512-101623,037-www-jspec-com-cn-px-spotgoods-province-mosenergybidinfouser-getmosenergybidinfousermonthsummary.json,/px-spotgoods-province/mosEnergyBidInfoUser/getMosEnergyBidInfoUserMonthSummary,bid,2026-05-12T02:16:58.296Z,200,0,false,standard_96_curve,
session-20260512-101623,038-www-jspec-com-cn-px-common-authority-user-getresourcetreebyusername.json,/px-common-authority/user/getResourceTreeByUsername,bid,2026-05-12T02:16:58.438Z,200,0,false,standard_96_curve,authentication-related endpoint; keep out of committed raw data
